Value,Disaggregation combinations using this value,Number of indicators
Inanspruchnahme Siedlungs-und Verkehrsfläche,1,1
Inanspruchnahme Vegetation,1,1
Neuinanspruchnahme Siedlungs- und Verkehrsfläche,1,1
Neuinanspruchnahme Vegetation,1,1
Siedlungs- und Verkehrsfläche,3,3
Vegetation,3,3
