Value,Disaggregation combinations using this value,Number of indicators
Ampeln mit Sensoren,1,1
Barrierefreie Parkplätze,1,1
Blindenleitsysteme,1,1
Bushaltestellen,1,1
Busse,1,1
Eltern-Kind-Parkplätze,1,1
