Value,Disaggregation combinations using this value,Number of indicators
Gesamt,2,2
I Mitte,2,2
II Nordwest,2,2
III Nordost,2,2
IV Südost,2,2
IX Mailing,2,2
V Südwest,2,2
VI West,2,2
VII Etting,2,2
VIII Oberhaunstadt,2,2
X Süd,2,2
XI Friedrichshofen-Hollerstauden,2,2
XII Münchener Straße,2,2
